GRID_ID,mean_value,permit_count,Gi_star,p_value,hotspot
GRID_00_02,10625.0,4,-0.4840659487587565,0.117,Not Significant
GRID_00_03,11000.0,1,-0.4840659487587565,0.114,Not Significant
GRID_01_02,48500.0,2,-0.44080947564532935,0.102,Not Significant
GRID_02_02,100000.0,1,0.2522584853590923,0.2,Not Significant
GRID_03_01,1183333.3333333333,3,0.2741337001472856,0.292,Not Significant
GRID_03_02,66000.0,1,0.2741337001472856,0.168,Not Significant
GRID_03_16,2215000.0,1,2.0091440154233133,0.329,Not Significant
GRID_04_01,87250.0,4,0.07686160188317949,0.289,Not Significant
GRID_04_14,60000.0,1,,0.001,Not Significant
GRID_04_16,40000.0,1,2.0091440154233133,0.022,Hot Spot (95%)
GRID_04_18,360000.0,1,,0.001,Not Significant
GRID_05_01,10000.0,1,-0.4543658363509875,0.229,Not Significant
GRID_05_02,12333.333333333334,3,-0.3880031775813576,0.209,Not Significant
GRID_05_03,200000.0,3,-0.34507347566650354,0.121,Not Significant
GRID_05_04,74000.0,4,-0.3641021984857319,0.168,Not Significant
GRID_05_05,30000.0,2,-0.40172134370811785,0.158,Not Significant
GRID_06_03,20000.0,3,-0.3498444075402429,0.195,Not Significant
GRID_06_04,118307.69230769233,13,-0.3743618717893585,0.061,Not Significant
GRID_06_05,16700.0,5,-0.364642211495354,0.123,Not Significant
GRID_06_06,60200.0,5,-0.40989854163875117,0.058,Not Significant
GRID_06_07,50831.25,4,-0.31508507989326257,0.354,Not Significant
GRID_06_15,33000.0,4,-0.03509433609861334,0.213,Not Significant
GRID_07_03,2000.0,1,-0.37123254144994283,0.345,Not Significant
GRID_07_04,153066.66666666666,3,0.36432780515947405,0.161,Not Significant
GRID_07_05,33545.454545454544,11,0.5480280401469773,0.074,Not Significant
GRID_07_06,124277.27272727272,22,0.44925006468550227,0.1,Not Significant
GRID_07_07,77987.72727272728,11,-0.07154992590332092,0.48,Not Significant
GRID_07_08,177747.0,18,-0.3294032168786988,0.137,Not Significant
GRID_07_09,44359.09090909091,33,-0.39629915578117025,0.109,Not Significant
GRID_07_10,51000.0,2,-0.4493424368017551,0.079,Not Significant
GRID_07_14,488000.0,1,0.3193104878148075,0.254,Not Significant
GRID_07_15,145610.0,10,0.3193104878148075,0.179,Not Significant
GRID_08_05,2450000.0,1,0.8394349903779205,0.381,Not Significant
GRID_08_06,887428.5714285715,7,0.6924583995994721,0.084,Not Significant
GRID_08_07,229299.16666666663,24,0.09224089864796385,0.339,Not Significant
GRID_08_08,40700.0,10,-0.1423052605313246,0.445,Not Significant
GRID_08_09,22150.526315789477,57,-0.3045351411959389,0.208,Not Significant
GRID_08_10,37500.0,2,-0.3501182901171751,0.171,Not Significant
GRID_08_15,850000.0,2,0.5817441936291474,0.193,Not Significant
GRID_08_17,49500.0,2,0.27963778644883086,0.173,Not Significant
GRID_08_21,5666.666666666667,3,,0.001,Not Significant
GRID_09_03,60000.0,1,-0.3936107595227611,0.471,Not Significant
GRID_09_06,8628.57142857143,7,1.041782052939301,0.019,Not Significant
GRID_09_07,544050.0,10,0.10388694564443787,0.422,Not Significant
GRID_09_08,417228.5714285714,7,-0.15083969138390668,0.305,Not Significant
GRID_09_09,19000.0,3,-0.1782850315096851,0.401,Not Significant
GRID_09_10,116241.28985507246,69,-0.09030649046423428,0.487,Not Significant
GRID_09_11,288607.7575757576,33,-0.0020420761522975655,0.415,Not Significant
GRID_09_13,5000.0,1,0.33734356810368604,0.149,Not Significant
GRID_09_15,30000.0,1,0.6391791930553556,0.095,Not Significant
GRID_09_16,963250.0,8,0.350466438889914,0.324,Not Significant
GRID_09_17,72000.0,1,0.27963778644883086,0.17,Not Significant
GRID_10_03,66866.66666666667,3,-0.3988800048087739,0.259,Not Significant
GRID_10_07,75200.0,5,-0.11784340316517142,0.49,Not Significant
GRID_10_08,67477.77777777778,45,-0.07971748086429153,0.49,Not Significant
GRID_10_09,123400.57142857143,35,-0.10654449148311444,0.463,Not Significant
GRID_10_10,585419.6666666666,75,-0.004568648128925344,0.457,Not Significant
GRID_10_11,389700.0,20,-0.060320378974011615,0.441,Not Significant
GRID_10_12,3575.0,4,0.1951911340480698,0.236,Not Significant
GRID_10_13,1300000.0,1,0.07519225895008581,0.221,Not Significant
GRID_10_14,239979.0,4,0.08973936273584227,0.356,Not Significant
GRID_11_02,56432.833333333336,6,-0.4408662100733607,0.096,Not Significant
GRID_11_05,25000.0,1,0.43981167099091173,0.121,Not Significant
GRID_11_06,134960.0,5,0.5917030369326758,0.096,Not Significant
GRID_11_08,51358.82352941176,17,0.053720791703999356,0.343,Not Significant
GRID_11_09,321819.04761904763,21,-0.13542215416100156,0.37,Not Significant
GRID_11_10,13107.142857142857,14,0.09239823676904182,0.285,Not Significant
GRID_11_11,264200.0,5,-0.1111812453598242,0.456,Not Significant
GRID_11_12,27404.42105263158,19,0.13304152332518424,0.279,Not Significant
GRID_11_13,315000.0,2,-0.0416424993801385,0.484,Not Significant
GRID_11_14,6350.0,2,0.09325438747396958,0.294,Not Significant
GRID_11_15,46075.0,4,0.5161029961164629,0.083,Not Significant
GRID_11_16,2544333.333333333,3,0.8312985794357306,0.418,Not Significant
GRID_12_00,87700.0,10,-0.2919027716258285,0.498,Not Significant
GRID_12_01,29725.0,4,-0.35671761233037047,0.283,Not Significant
GRID_12_02,17000.0,1,-0.3611933847716746,0.364,Not Significant
GRID_12_05,56250.0,4,0.2768404471543801,0.182,Not Significant
GRID_12_06,1513857.142857143,7,0.4157798490059347,0.349,Not Significant
GRID_12_07,1193426.6666666667,15,0.7409327095460665,0.095,Not Significant
GRID_12_08,6600.0,5,0.36484890933041725,0.125,Not Significant
GRID_12_09,253000.0,2,0.10662050074810392,0.334,Not Significant
GRID_12_12,36150.0,10,0.09188817208083076,0.285,Not Significant
GRID_12_13,37272.72727272727,11,-0.05440647177981325,0.445,Not Significant
GRID_12_14,8000.0,3,-0.2513357392237951,0.291,Not Significant
GRID_12_15,279666.6666666667,3,0.5966441846124588,0.048,Not Significant
GRID_12_16,139714.2857142857,21,0.6774538565007396,0.038,Not Significant
GRID_12_17,19650.0,2,0.9669052872739318,0.025,Not Significant
GRID_12_18,43500.0,2,-0.4855807485784981,0.014,Not Significant
GRID_12_19,25000.0,1,-0.37523322692704575,0.315,Not Significant
GRID_12_20,91200.0,4,-0.2792645426949724,0.456,Not Significant
GRID_12_21,213500.0,2,-0.21222053762961,0.471,Not Significant
GRID_13_01,208000.0,1,-0.34354239156776334,0.127,Not Significant
GRID_13_05,12000.0,2,0.5933841466291071,0.093,Not Significant
GRID_13_06,420000.0,1,0.6731221159396041,0.098,Not Significant
GRID_13_07,19500.0,5,0.8656275647383984,0.018,Not Significant
GRID_13_08,1187250.0,4,0.37553980335964504,0.345,Not Significant
GRID_13_09,161600.0,35,0.19271650287926373,0.251,Not Significant
GRID_13_12,1071250.0,4,-0.004653942717389254,0.149,Not Significant
GRID_13_13,197788.09523809524,21,-0.11273252645576806,0.441,Not Significant
GRID_13_14,223642.85714285716,14,-0.3245076046365577,0.085,Not Significant
GRID_13_15,24166.666666666668,6,-0.010507460873958731,0.391,Not Significant
GRID_13_16,1245785.7142857143,14,-0.068674698672659,0.088,Not Significant
GRID_13_17,2666.6666666666665,3,-0.05554989649052547,0.43,Not Significant
GRID_13_20,126587.5,8,-0.2957858742693365,0.237,Not Significant
GRID_14_08,7000.0,1,0.14434075907067268,0.23,Not Significant
GRID_14_12,42000.0,2,0.0013026162575854004,0.344,Not Significant
GRID_14_13,29642.85714285714,7,0.0036890084166732507,0.367,Not Significant
GRID_14_14,44642.857142857145,7,-0.2841322353524407,0.23,Not Significant
GRID_14_15,1500.0,1,0.06522968323630095,0.31,Not Significant
GRID_14_16,130706.25,16,-0.018534400074539888,0.412,Not Significant
GRID_14_17,22133.33333333333,3,0.1346655968679622,0.246,Not Significant
GRID_14_18,101000.0,4,-0.33623654026323346,0.2,Not Significant
GRID_14_19,25000.0,1,-0.2416294285399429,0.395,Not Significant
GRID_14_20,130000.0,1,-0.30001709861054887,0.232,Not Significant
GRID_14_21,136000.0,3,-0.2982740259401246,0.266,Not Significant
GRID_15_09,132983.33333333334,6,-0.1324755790031744,0.303,Not Significant
GRID_15_10,397250.0,8,-0.08806654080950908,0.446,Not Significant
GRID_15_11,66000.0,1,-0.1316632950418637,0.338,Not Significant
GRID_15_13,23250.0,4,-0.3188450724570104,0.218,Not Significant
GRID_15_14,282812.5,16,-0.33950656565050386,0.047,Not Significant
GRID_15_15,179800.0,1,-0.26782621033827847,0.27,Not Significant
GRID_15_18,282000.0,3,-0.23693717816663523,0.272,Not Significant
GRID_15_19,100250.0,4,-0.21627098062587552,0.362,Not Significant
GRID_15_20,150333.33333333334,3,-0.29569761175395953,0.167,Not Significant
GRID_15_21,66000.0,2,-0.36023812001578437,0.106,Not Significant
GRID_15_22,25000.0,2,-0.40933672038431945,0.074,Not Significant
GRID_15_23,32000.0,1,0.2602119684706133,0.184,Not Significant
GRID_15_24,1903000.0,1,0.6403200913543732,0.199,Not Significant
GRID_16_12,212500.0,2,-0.24233776882832253,0.315,Not Significant
